plant_name,season,region,watering_frequency,water_amount_liters,fertilizer_type,fertilizer_amount,nitrogen_requirement,phosphorus_requirement,potassium_requirement,micronutrients_required,sunlight_requirement,temperature_range_celsius,humidity_range_percent,wind_tolerance,care_instructions
Geranium,Winter,Karnataka,Every 7 days,0.5-1 L,Organic Compost,300 g/plant,Low,Medium,Medium,Calcium; Magnesium,Full Sun,9-19°C,45-65%,Medium,Reduce watering during winter.
Geranium,Winter,Maharashtra,Every 7 days,0.5-1 L,Organic Compost,300 g/plant,Low,Medium,Medium,Calcium; Magnesium,Full Sun,11-21°C,40-60%,Medium,Reduce watering during winter.
Geranium,Monsoon,Himachal Pradesh,Every 5 days,1 L,Vermicompost,300 g/plant,Medium,High,Medium,Zinc; Iron,Full Sun,12-22°C,70-90%,Medium,Prevent fungal diseases with drainage.
Geranium,Monsoon,Uttarakhand,Every 5 days,1 L,Vermicompost,300 g/plant,Medium,High,Medium,Zinc; Iron,Full Sun,13-23°C,70-90%,Medium,Prevent fungal diseases with drainage.
Geranium,Monsoon,Tamil Nadu,Every 5 days,1 L,Vermicompost,300 g/plant,Medium,High,Medium,Zinc; Iron,Full Sun,18-28°C,75-95%,Medium,Prevent fungal diseases with drainage.
Geranium,Monsoon,Karnataka,Every 5 days,1 L,Vermicompost,300 g/plant,Medium,High,Medium,Zinc; Iron,Full Sun,17-27°C,75-95%,Medium,Prevent fungal diseases with drainage.
Geranium,Monsoon,Maharashtra,Every 5 days,1 L,Vermicompost,300 g/plant,Medium,High,Medium,Zinc; Iron,Full Sun,19-29°C,70-90%,Medium,Prevent fungal diseases with drainage.
Geranium,Autumn,Himachal Pradesh,Every 3-4 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Iron,Full Sun,9-19°C,50-70%,Medium,Prune for bushy growth.
Geranium,Autumn,Uttarakhand,Every 3-4 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Iron,Full Sun,10-20°C,50-70%,Medium,Prune for bushy growth.
Geranium,Autumn,Tamil Nadu,Every 3-4 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Iron,Full Sun,15-25°C,55-75%,Medium,Prune for bushy growth.
Geranium,Autumn,Karnataka,Every 3-4 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Iron,Full Sun,14-24°C,55-75%,Medium,Prune for bushy growth.
Geranium,Autumn,Maharashtra,Every 3-4 days,1 L,Flowering Fertilizer,15 g/plant/month,Medium,High,Medium,Boron; Iron,Full Sun,16-26°C,50-70%,Medium,Prune for bushy growth.
Geranium,Windy,Himachal Pradesh,Every 3-4 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Full Sun,9-22°C,40-60%,Medium,Protect stems from strong winds.
Geranium,Windy,Uttarakhand,Every 3-4 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Full Sun,10-23°C,40-60%,Medium,Protect stems from strong winds.
Geranium,Windy,Tamil Nadu,Every 3-4 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Full Sun,15-28°C,45-65%,Medium,Protect stems from strong winds.
Geranium,Windy,Karnataka,Every 3-4 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Full Sun,14-27°C,45-65%,Medium,Protect stems from strong winds.
Geranium,Windy,Maharashtra,Every 3-4 days,1 L,Organic Compost,300 g/plant,Medium,Medium,Medium,Calcium,Full Sun,16-29°C,40-60%,Medium,Protect stems from strong winds.
Fern,Summer,Delhi,Every 2 days,1-2 L,Fern Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Shade/Indirect Light,21-33°C,60-80%,Low,Maintain high humidity and moist soil.
Fern,Summer,Maharashtra,Every 2 days,1-2 L,Fern Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Shade/Indirect Light,19-31°C,70-90%,Low,Maintain high humidity and moist soil.
Fern,Summer,Karnataka,Every 2 days,1-2 L,Fern Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Shade/Indirect Light,17-29°C,75-95%,Low,Maintain high humidity and moist soil.
Fern,Summer,West Bengal,Every 2 days,1-2 L,Fern Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Shade/Indirect Light,18-30°C,80-100%,Low,Maintain high humidity and moist soil.
Fern,Summer,Tamil Nadu,Every 2 days,1-2 L,Fern Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Shade/Indirect Light,18-30°C,75-95%,Low,Maintain high humidity and moist soil.
Fern,Winter,Delhi,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Shade/Indirect Light,15-25°C,40-60%,Low,Avoid complete drying.
Fern,Winter,Maharashtra,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Shade/Indirect Light,13-23°C,50-70%,Low,Avoid complete drying.
Fern,Winter,Karnataka,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Shade/Indirect Light,11-21°C,55-75%,Low,Avoid complete drying.
Fern,Winter,West Bengal,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Shade/Indirect Light,12-22°C,60-80%,Low,Avoid complete drying.
Fern,Winter,Tamil Nadu,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Shade/Indirect Light,12-22°C,55-75%,Low,Avoid complete drying.
Fern,Monsoon,Delhi,Every 4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Shade/Indirect Light,21-31°C,70-85%,Low,Provide airflow to avoid fungal growth.
Fern,Monsoon,Maharashtra,Every 4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Shade/Indirect Light,19-29°C,80-95%,Low,Provide airflow to avoid fungal growth.
Fern,Monsoon,Karnataka,Every 4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Shade/Indirect Light,17-27°C,85-100%,Low,Provide airflow to avoid fungal growth.
Fern,Monsoon,West Bengal,Every 4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Shade/Indirect Light,18-28°C,90-100%,Low,Provide airflow to avoid fungal growth.
Fern,Monsoon,Tamil Nadu,Every 4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Shade/Indirect Light,18-28°C,85-100%,Low,Provide airflow to avoid fungal growth.
Fern,Autumn,Delhi,Every 3-4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Shade/Indirect Light,18-28°C,50-70%,Low,Remove dry fronds regularly.
Fern,Autumn,Maharashtra,Every 3-4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Shade/Indirect Light,16-26°C,60-80%,Low,Remove dry fronds regularly.
Fern,Autumn,Karnataka,Every 3-4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Shade/Indirect Light,14-24°C,65-85%,Low,Remove dry fronds regularly.
Fern,Autumn,West Bengal,Every 3-4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Shade/Indirect Light,15-25°C,70-90%,Low,Remove dry fronds regularly.
Fern,Autumn,Tamil Nadu,Every 3-4 days,1 L,Fern Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Shade/Indirect Light,15-25°C,65-85%,Low,Remove dry fronds regularly.
Fern,Windy,Delhi,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Shade/Indirect Light,18-31°C,50-70%,Low,Keep away from direct wind.
Fern,Windy,Maharashtra,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Shade/Indirect Light,16-29°C,60-80%,Low,Keep away from direct wind.
Fern,Windy,Karnataka,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Shade/Indirect Light,14-27°C,65-85%,Low,Keep away from direct wind.
Fern,Windy,West Bengal,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Shade/Indirect Light,15-28°C,70-90%,Low,Keep away from direct wind.
Fern,Windy,Tamil Nadu,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Shade/Indirect Light,15-28°C,65-85%,Low,Keep away from direct wind.
Money Plant,Summer,Delhi,Every 3-4 days,1 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,23-35°C,50-70%,Medium,Keep soil moist and provide climbing support.
Money Plant,Summer,Maharashtra,Every 3-4 days,1 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,21-33°C,60-80%,Medium,Keep soil moist and provide climbing support.
Money Plant,Summer,Karnataka,Every 3-4 days,1 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,19-31°C,65-85%,Medium,Keep soil moist and provide climbing support.
Money Plant,Summer,West Bengal,Every 3-4 days,1 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,20-32°C,70-90%,Medium,Keep soil moist and provide climbing support.
Money Plant,Summer,Tamil Nadu,Every 3-4 days,1 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,20-32°C,65-85%,Medium,Keep soil moist and provide climbing support.
Money Plant,Winter,Delhi,Every 7 days,0.5 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,18-27°C,40-60%,Medium,Reduce watering during winter.
Money Plant,Winter,Maharashtra,Every 7 days,0.5 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,16-25°C,50-70%,Medium,Reduce watering during winter.
Money Plant,Winter,Karnataka,Every 7 days,0.5 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,14-23°C,55-75%,Medium,Reduce watering during winter.
Money Plant,Winter,West Bengal,Every 7 days,0.5 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,15-24°C,60-80%,Medium,Reduce watering during winter.
Money Plant,Winter,Tamil Nadu,Every 7 days,0.5 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,15-24°C,55-75%,Medium,Reduce watering during winter.
Money Plant,Monsoon,Delhi,Every 5 days,0.5-1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,23-33°C,60-80%,Medium,Avoid water accumulation.
Money Plant,Monsoon,Maharashtra,Every 5 days,0.5-1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,21-31°C,70-90%,Medium,Avoid water accumulation.
Money Plant,Monsoon,Karnataka,Every 5 days,0.5-1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,19-29°C,75-95%,Medium,Avoid water accumulation.
Money Plant,Monsoon,West Bengal,Every 5 days,0.5-1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,20-30°C,80-100%,Medium,Avoid water accumulation.
Money Plant,Monsoon,Tamil Nadu,Every 5 days,0.5-1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,20-30°C,75-95%,Medium,Avoid water accumulation.
Money Plant,Autumn,Delhi,Every 4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,21-31°C,50-70%,Medium,Prune vines for dense growth.
Money Plant,Autumn,Maharashtra,Every 4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,19-29°C,60-80%,Medium,Prune vines for dense growth.
Money Plant,Autumn,Karnataka,Every 4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,17-27°C,65-85%,Medium,Prune vines for dense growth.
Money Plant,Autumn,West Bengal,Every 4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,18-28°C,70-90%,Medium,Prune vines for dense growth.
Money Plant,Autumn,Tamil Nadu,Every 4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,18-28°C,65-85%,Medium,Prune vines for dense growth.
Money Plant,Windy,Delhi,Every 4 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,21-31°C,40-60%,Medium,Protect from strong winds.
Money Plant,Windy,Maharashtra,Every 4 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,19-29°C,50-70%,Medium,Protect from strong winds.
Money Plant,Windy,Karnataka,Every 4 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,17-27°C,55-75%,Medium,Protect from strong winds.
Money Plant,Windy,West Bengal,Every 4 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,18-28°C,60-80%,Medium,Protect from strong winds.
Money Plant,Windy,Tamil Nadu,Every 4 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,18-28°C,55-75%,Medium,Protect from strong winds.
Areca Palm,Summer,Delhi,Every 2-3 days,4-6 L,Palm Fertilizer,200 g/month,Medium,Medium,High,Magnesium; Iron,Bright Indirect Light,25-37°C,50-70%,Medium,Maintain moist soil and mist leaves regularly.
Areca Palm,Summer,Maharashtra,Every 2-3 days,4-6 L,Palm Fertilizer,200 g/month,Medium,Medium,High,Magnesium; Iron,Bright Indirect Light,23-35°C,60-80%,Medium,Maintain moist soil and mist leaves regularly.
Areca Palm,Summer,Karnataka,Every 2-3 days,4-6 L,Palm Fertilizer,200 g/month,Medium,Medium,High,Magnesium; Iron,Bright Indirect Light,21-33°C,65-85%,Medium,Maintain moist soil and mist leaves regularly.
Areca Palm,Summer,West Bengal,Every 2-3 days,4-6 L,Palm Fertilizer,200 g/month,Medium,Medium,High,Magnesium; Iron,Bright Indirect Light,22-34°C,70-90%,Medium,Maintain moist soil and mist leaves regularly.
Areca Palm,Summer,Tamil Nadu,Every 2-3 days,4-6 L,Palm Fertilizer,200 g/month,Medium,Medium,High,Magnesium; Iron,Bright Indirect Light,22-34°C,65-85%,Medium,Maintain moist soil and mist leaves regularly.
Areca Palm,Winter,Delhi,Every 7-10 days,2-3 L,Organic Compost,2 kg/plant,Low,Medium,High,Calcium; Magnesium,Bright Indirect Light,19-27°C,40-60%,Medium,Reduce watering during cooler weather.
Areca Palm,Winter,Maharashtra,Every 7-10 days,2-3 L,Organic Compost,2 kg/plant,Low,Medium,High,Calcium; Magnesium,Bright Indirect Light,17-25°C,50-70%,Medium,Reduce watering during cooler weather.
Areca Palm,Winter,Karnataka,Every 7-10 days,2-3 L,Organic Compost,2 kg/plant,Low,Medium,High,Calcium; Magnesium,Bright Indirect Light,15-23°C,55-75%,Medium,Reduce watering during cooler weather.
Areca Palm,Winter,West Bengal,Every 7-10 days,2-3 L,Organic Compost,2 kg/plant,Low,Medium,High,Calcium; Magnesium,Bright Indirect Light,16-24°C,60-80%,Medium,Reduce watering during cooler weather.
Areca Palm,Winter,Tamil Nadu,Every 7-10 days,2-3 L,Organic Compost,2 kg/plant,Low,Medium,High,Calcium; Magnesium,Bright Indirect Light,16-24°C,55-75%,Medium,Reduce watering during cooler weather.
Areca Palm,Monsoon,Delhi,Every 5 days,3 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Iron; Zinc,Bright Indirect Light,23-33°C,60-80%,Medium,Ensure proper drainage around roots.
Areca Palm,Monsoon,Maharashtra,Every 5 days,3 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Iron; Zinc,Bright Indirect Light,21-31°C,70-90%,Medium,Ensure proper drainage around roots.
Areca Palm,Monsoon,Karnataka,Every 5 days,3 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Iron; Zinc,Bright Indirect Light,19-29°C,75-95%,Medium,Ensure proper drainage around roots.
Areca Palm,Monsoon,West Bengal,Every 5 days,3 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Iron; Zinc,Bright Indirect Light,20-30°C,80-100%,Medium,Ensure proper drainage around roots.
Areca Palm,Monsoon,Tamil Nadu,Every 5 days,3 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Iron; Zinc,Bright Indirect Light,20-30°C,75-95%,Medium,Ensure proper drainage around roots.
Areca Palm,Autumn,Delhi,Every 5 days,3-4 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Boron; Iron,Bright Indirect Light,21-31°C,50-70%,Medium,Remove yellow fronds regularly.
Areca Palm,Autumn,Maharashtra,Every 5 days,3-4 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Boron; Iron,Bright Indirect Light,19-29°C,60-80%,Medium,Remove yellow fronds regularly.
Areca Palm,Autumn,Karnataka,Every 5 days,3-4 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Boron; Iron,Bright Indirect Light,17-27°C,65-85%,Medium,Remove yellow fronds regularly.
Areca Palm,Autumn,West Bengal,Every 5 days,3-4 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Boron; Iron,Bright Indirect Light,18-28°C,70-90%,Medium,Remove yellow fronds regularly.
Areca Palm,Autumn,Tamil Nadu,Every 5 days,3-4 L,Palm Fertilizer,150 g/month,Medium,Medium,High,Boron; Iron,Bright Indirect Light,18-28°C,65-85%,Medium,Remove yellow fronds regularly.
Areca Palm,Windy,Delhi,Every 4-5 days,3-4 L,Organic Compost,1 kg/plant,Medium,Medium,High,Calcium,Bright Indirect Light,21-33°C,40-60%,Medium,Protect fronds from strong winds.
Areca Palm,Windy,Maharashtra,Every 4-5 days,3-4 L,Organic Compost,1 kg/plant,Medium,Medium,High,Calcium,Bright Indirect Light,19-31°C,50-70%,Medium,Protect fronds from strong winds.
Areca Palm,Windy,Karnataka,Every 4-5 days,3-4 L,Organic Compost,1 kg/plant,Medium,Medium,High,Calcium,Bright Indirect Light,17-29°C,55-75%,Medium,Protect fronds from strong winds.
Areca Palm,Windy,West Bengal,Every 4-5 days,3-4 L,Organic Compost,1 kg/plant,Medium,Medium,High,Calcium,Bright Indirect Light,18-30°C,60-80%,Medium,Protect fronds from strong winds.
Areca Palm,Windy,Tamil Nadu,Every 4-5 days,3-4 L,Organic Compost,1 kg/plant,Medium,Medium,High,Calcium,Bright Indirect Light,18-30°C,55-75%,Medium,Protect fronds from strong winds.
Peace Lily,Summer,Delhi,Every 2-3 days,1-2 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,23-33°C,50-70%,Low,Keep soil moist and maintain humidity.
Peace Lily,Summer,Maharashtra,Every 2-3 days,1-2 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,21-31°C,60-80%,Low,Keep soil moist and maintain humidity.
Peace Lily,Summer,Karnataka,Every 2-3 days,1-2 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,19-29°C,65-85%,Low,Keep soil moist and maintain humidity.
Peace Lily,Summer,West Bengal,Every 2-3 days,1-2 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,20-30°C,70-90%,Low,Keep soil moist and maintain humidity.
Peace Lily,Summer,Tamil Nadu,Every 2-3 days,1-2 L,Balanced Liquid Fertilizer,15 ml/month,Medium,Medium,Medium,Iron; Magnesium,Bright Indirect Light,20-30°C,65-85%,Low,Keep soil moist and maintain humidity.
Peace Lily,Winter,Delhi,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,18-25°C,40-60%,Low,Reduce watering during winter.
Peace Lily,Winter,Maharashtra,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,16-23°C,50-70%,Low,Reduce watering during winter.
Peace Lily,Winter,Karnataka,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,14-21°C,55-75%,Low,Reduce watering during winter.
Peace Lily,Winter,West Bengal,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,15-22°C,60-80%,Low,Reduce watering during winter.
Peace Lily,Winter,Tamil Nadu,Every 5-7 days,0.5-1 L,Organic Compost,250 g/plant,Low,Medium,Medium,Calcium; Magnesium,Bright Indirect Light,15-22°C,55-75%,Low,Reduce watering during winter.
Peace Lily,Monsoon,Delhi,Every 4-5 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,23-31°C,60-80%,Low,Ensure drainage and avoid standing water.
Peace Lily,Monsoon,Maharashtra,Every 4-5 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,21-29°C,70-90%,Low,Ensure drainage and avoid standing water.
Peace Lily,Monsoon,Karnataka,Every 4-5 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,19-27°C,75-95%,Low,Ensure drainage and avoid standing water.
Peace Lily,Monsoon,West Bengal,Every 4-5 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,20-28°C,80-100%,Low,Ensure drainage and avoid standing water.
Peace Lily,Monsoon,Tamil Nadu,Every 4-5 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Iron; Zinc,Bright Indirect Light,20-28°C,75-95%,Low,Ensure drainage and avoid standing water.
Peace Lily,Autumn,Delhi,Every 3-4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,21-28°C,50-70%,Low,Remove yellow leaves regularly.
Peace Lily,Autumn,Maharashtra,Every 3-4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,19-26°C,60-80%,Low,Remove yellow leaves regularly.
Peace Lily,Autumn,Karnataka,Every 3-4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,17-24°C,65-85%,Low,Remove yellow leaves regularly.
Peace Lily,Autumn,West Bengal,Every 3-4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,18-25°C,70-90%,Low,Remove yellow leaves regularly.
Peace Lily,Autumn,Tamil Nadu,Every 3-4 days,1 L,Balanced Liquid Fertilizer,10 ml/month,Medium,Medium,Medium,Boron; Iron,Bright Indirect Light,18-25°C,65-85%,Low,Remove yellow leaves regularly.
Peace Lily,Windy,Delhi,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,21-31°C,40-60%,Low,Protect from strong drafts.
Peace Lily,Windy,Maharashtra,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,19-29°C,50-70%,Low,Protect from strong drafts.
Peace Lily,Windy,Karnataka,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,17-27°C,55-75%,Low,Protect from strong drafts.
Peace Lily,Windy,West Bengal,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,18-28°C,60-80%,Low,Protect from strong drafts.
Peace Lily,Windy,Tamil Nadu,Every 3 days,1 L,Organic Compost,250 g/plant,Medium,Medium,Medium,Calcium,Bright Indirect Light,18-28°C,55-75%,Low,Protect from strong drafts.
Snake Plant,Summer,Delhi,Every 10-14 days,0.5-1 L,Succulent Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Bright Indirect Light,23-38°C,20-50%,High,Allow soil to dry completely before watering.
Snake Plant,Summer,Maharashtra,Every 10-14 days,0.5-1 L,Succulent Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Bright Indirect Light,21-36°C,30-60%,High,Allow soil to dry completely before watering.
Snake Plant,Summer,Karnataka,Every 10-14 days,0.5-1 L,Succulent Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Bright Indirect Light,19-34°C,35-65%,High,Allow soil to dry completely before watering.
Snake Plant,Summer,West Bengal,Every 10-14 days,0.5-1 L,Succulent Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Bright Indirect Light,20-35°C,40-70%,High,Allow soil to dry completely before watering.
Snake Plant,Summer,Tamil Nadu,Every 10-14 days,0.5-1 L,Succulent Fertilizer,10 g/month,Low,Low,Medium,Calcium; Magnesium,Bright Indirect Light,20-35°C,35-65%,High,Allow soil to dry completely before watering.
Snake Plant,Winter,Delhi,Every 20-25 days,0.3-0.5 L,,,Low,Low,Low,,Bright Indirect Light,13-25°C,20-40%,High,Water sparingly during winter.
Snake Plant,Winter,Maharashtra,Every 20-25 days,0.3-0.5 L,,,Low,Low,Low,,Bright Indirect Light,11-23°C,30-50%,High,Water sparingly during winter.
Snake Plant,Winter,Karnataka,Every 20-25 days,0.3-0.5 L,,,Low,Low,Low,,Bright Indirect Light,9-21°C,35-55%,High,Water sparingly during winter.
Snake Plant,Winter,West Bengal,Every 20-25 days,0.3-0.5 L,,,Low,Low,Low,,Bright Indirect Light,10-22°C,40-60%,High,Water sparingly during winter.
Snake Plant,Winter,Tamil Nadu,Every 20-25 days,0.3-0.5 L,,,Low,Low,Low,,Bright Indirect Light,10-22°C,35-55%,High,Water sparingly during winter.
Snake Plant,Monsoon,Delhi,Every 15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Calcium,Bright Indirect Light,23-33°C,50-70%,High,Prevent waterlogging.
Snake Plant,Monsoon,Maharashtra,Every 15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Calcium,Bright Indirect Light,21-31°C,60-80%,High,Prevent waterlogging.
Snake Plant,Monsoon,Karnataka,Every 15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Calcium,Bright Indirect Light,19-29°C,65-85%,High,Prevent waterlogging.
Snake Plant,Monsoon,West Bengal,Every 15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Calcium,Bright Indirect Light,20-30°C,70-90%,High,Prevent waterlogging.
Snake Plant,Monsoon,Tamil Nadu,Every 15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Calcium,Bright Indirect Light,20-30°C,65-85%,High,Prevent waterlogging.
Snake Plant,Autumn,Delhi,Every 12-15 days,0.5 L,Succulent Fertilizer,5 g/month,Low,Low,Medium,Magnesium,Bright Indirect Light,21-31°C,30-50%,High,Reduce watering gradually.
