plant_name,disease_name,disease_type,symptoms,causes,prevention,treatment,affected_parts,severity
Moon Cactus,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Moon Cactus,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Moon Cactus,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Moon Cactus,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Opuntia Prickly Pear,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Opuntia Prickly Pear,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Opuntia Prickly Pear,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Opuntia Prickly Pear,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Opuntia Prickly Pear,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Papaya,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Papaya,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Papaya,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Papaya,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Papaya,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Papaya,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Gymnocalycium,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Gymnocalycium,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Gymnocalycium,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Gymnocalycium,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Gymnocalycium,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Tomato Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Tomato Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Tomato Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Tomato Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Tomato Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Chili Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Chili Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Chili Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Chili Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Chili Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Spinach Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Spinach Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Spinach Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Spinach Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Spinach Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Coriander Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Coriander Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Coriander Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Coriander Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Coriander Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Mint Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Mint Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Mint Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Mint Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Mint Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Fenugreek Plant,Powdery Mildew,Fungal,White powdery patches on leaves and stems that spread and cause leaves to yellow and curl.,Fungal spores favoured by high humidity combined with poor air circulation.,"Space plants for airflow, avoid overhead watering, remove infected debris promptly.",Spray neem oil or a potassium bicarbonate/sulfur solution every 7-10 days.,"Leaves, stems",Moderate
Fenugreek Plant,Damping Off,Fungal,Seedlings collapse and rot at the soil line soon after germination; poor emergence.,"Soil-borne fungi such as Pythium and Rhizoctonia thriving in cold, waterlogged soil.","Use sterile, well-draining potting mix; avoid overwatering seedlings; ensure good ventilation.","Remove affected seedlings immediately, improve drainage, apply a fungicidal drench to remaining trays.","Stem base, roots (seedling stage)",High
Fenugreek Plant,Leaf Spot,Fungal/Bacterial,Brown to black spots with yellow halos scattered across leaves; spots may merge and cause leaf drop.,Fungal or bacterial pathogens spread by water splash and wet foliage.,"Water at the soil level, avoid working with wet plants, rotate crops each season.",Remove and destroy affected leaves; apply a copper-based fungicide/bactericide.,Leaves,Moderate
Fenugreek Plant,Aphid Infestation,Pest,"Curled, distorted new leaves and shoots; sticky honeydew and clusters of small green/black insects.","Aphid colonies feeding on tender growth, especially in warm weather.","Encourage natural predators (ladybirds, lacewings), inspect new growth regularly.","Spray with neem oil or insecticidal soap, focusing on the undersides of leaves.","New shoots, leaves",Low to Moderate
Fenugreek Plant,Downy Mildew,Fungal,Yellow patches on the upper leaf surface with greyish-purple fuzzy growth underneath.,"Cool, moist conditions with prolonged leaf wetness.","Improve airflow around plants, avoid wetting foliage, remove volunteer plants and debris.",Remove infected leaves promptly; apply a suitable fungicide at first sign of infection.,Leaves,Moderate to High
Apple,Anthracnose,Fungal,"Dark, sunken lesions on leaves, twigs and fruit; fruit develops black rotten spots as it ripens.","Colletotrichum fungus thriving in warm, humid, wet weather; spread by rain splash.","Prune for good airflow, avoid overhead watering, remove fallen leaves and mummified fruit.",Spray copper-based fungicide at flowering and fruit set; remove and destroy infected plant parts.,"Leaves, twigs, fruit",Moderate to High
Apple,Powdery Mildew,Fungal,"White powdery coating on young leaves, shoots and flower panicles; distorted new growth.","Fungal spores favoured by warm days, cool nights and poor air circulation.","Prune to open up the canopy, avoid excess nitrogen fertilizer, space trees adequately.",Apply wettable sulfur or neem oil spray at first sign of infection; repeat every 7-10 days.,"Leaves, young shoots, flowers",Moderate
Apple,Root Rot,Fungal,Wilting and yellowing leaves despite moist soil; roots turn brown/black and mushy; stunted growth.,"Waterlogged, poorly drained soil favouring Phytophthora/Pythium fungi.","Plant in well-drained soil or raised beds; avoid overwatering, especially in monsoon.","Improve drainage, trim away rotten roots, apply a systemic fungicide drench.","Roots, root collar",High
Apple,Bacterial Canker / Leaf Spot,Bacterial,Water-soaked spots on leaves that turn brown with a yellow halo; raised corky lesions on fruit and twigs.,Xanthomonas bacteria spread by wind-driven rain and contaminated pruning tools.,"Use certified disease-free planting material, disinfect pruning tools, avoid overhead irrigation.",Spray copper-based bactericide; prune and destroy infected branches.,"Leaves, fruit, twigs",High
Apple,Fruit Fly Infestation,Pest,Small puncture marks on ripening fruit; maggots tunnelling inside causing premature fruit drop and rot.,Fruit flies (Bactrocera spp.) laying eggs in maturing fruit.,"Use pheromone/methyl eugenol traps, bag fruit clusters, maintain orchard sanitation.",Apply approved insecticide bait spray; collect and destroy fallen infested fruit.,Fruit,Moderate to High
Apple,Sooty Mould,Fungal (secondary),"Black sooty coating over leaves and stems, reducing photosynthesis and vigour.","Growth of sooty mould fungus on honeydew excreted by aphids, scale or mealybugs.",Control sap-sucking insect pests early; encourage natural predators like ladybirds.,Wash off with a mild soap-water spray; treat the underlying insect infestation with neem oil.,"Leaves, stems",Low to Moderate
Aloe Vera,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Aloe Vera,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Aloe Vera,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
Aloe Vera,Scale Insects,Pest,Small brown or tan raised bumps on the surface; sticky honeydew and yellowing nearby tissue.,Scale insects attaching to the plant surface and feeding on sap.,"Inspect regularly, isolate new arrivals, avoid overcrowding plants.","Scrape off scales gently, wipe with alcohol, apply horticultural oil spray.","Stem, ribs, pads",Moderate
Aloe Vera,Sunscorch / Corking,Abiotic (environmental),"Brown, tan or corky patches on the sun-facing side of the plant.","Sudden exposure to intense direct sun without acclimatisation, or natural ageing (corking).","Acclimatise gradually to full sun, provide light afternoon shade in peak summer.",No cure for scorched tissue; relocate to filtered light and let new growth cover the area.,Outer skin/epidermis,Low to Moderate
Peace Lily,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Peace Lily,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Peace Lily,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Peace Lily,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Peace Lily,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Snake Plant,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Snake Plant,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Snake Plant,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Snake Plant,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Snake Plant,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Red Aglaonema,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Red Aglaonema,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Red Aglaonema,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Red Aglaonema,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Red Aglaonema,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Golden Pothos,Root Rot,Fungal,"Yellowing, drooping leaves despite moist soil; roots appear brown/black, mushy, with a foul smell.",Overwatering and poorly draining potting mix allowing Pythium/Phytophthora to develop.,"Use a well-draining potting mix, ensure pots have drainage holes, let topsoil dry before rewatering.","Unpot the plant, trim away rotten roots, repot into fresh mix and water sparingly afterwards.","Roots, base of stem",High
Golden Pothos,Leaf Spot Disease,Fungal/Bacterial,Brown or black spots with yellow margins scattered across the foliage.,Fungal or bacterial pathogens favoured by high humidity and water sitting on leaves.,"Avoid misting directly onto foliage, ensure good airflow around the plant.","Remove affected leaves, improve ventilation, apply a fungicide/bactericide if spreading.",Leaves,Moderate
Golden Pothos,Spider Mites,Pest,"Fine webbing on the undersides of leaves; stippled, yellowing or bronzed foliage.",Dry indoor air and warm temperatures favouring spider mite reproduction.,"Maintain higher humidity, wipe leaves periodically, inspect new plants before bringing indoors.","Spray with insecticidal soap or neem oil, repeating every 5-7 days until resolved.",Leaves (undersides),Moderate
Golden Pothos,Mealybug Infestation,Pest,"White, cottony masses clustered at leaf axils, stems and undersides of leaves.","Mealybugs feeding on plant sap, commonly spread via new plants or shared tools.","Quarantine and inspect new plants, keep foliage clean and dust-free.","Dab with an alcohol-soaked cotton swab, follow up with a neem oil spray.","Leaf axils, stems",Moderate
Golden Pothos,Leaf Tip/Margin Blight,Fungal/Abiotic,"Brown, dry, crispy tips or margins on leaves that gradually spread inward.","Low humidity, fluoride/salt buildup from tap water, or minor fungal infection at wounds.","Water with filtered or rested water, maintain adequate humidity, trim tips cleanly with sterile scissors.","Trim affected tips, adjust watering practices; apply fungicide only if actively spreading.","Leaf tips, margins",Low to Moderate
Agave,Root Rot,Fungal,"Base or roots turn black, mushy and foul-smelling; plant becomes soft, discoloured and collapses.","Overwatering in poorly draining soil, allowing Phytophthora/Pythium fungi to thrive.",Use a fast-draining cactus/succulent mix; let soil dry out completely between waterings.,"Remove all rotten tissue with a sterile blade, let cuts callous, repot in fresh dry mix.","Roots, stem base",High
Agave,Fungal Stem/Body Rot,Fungal,"Dark, soft, sunken patches on the stem or body that spread and turn mushy.","High humidity, standing water on the plant body, or wounds allowing fungal entry.","Avoid wetting the plant body, ensure good ventilation, water at soil level only.","Cut away infected tissue back to healthy flesh, dust wound with sulfur powder or fungicide.","Stem, pads, body",High
Agave,Mealybug Infestation,Pest,"Small white cottony clusters in crevices, joints and around the base; sticky residue.","Mealybug colonies feeding on plant sap, often introduced via new plants.",Inspect and quarantine new plants before placing near others; check crevices regularly.,Dab insects with rubbing-alcohol-soaked cotton swab; follow up with neem oil spray.,"Stem joints, areoles, roots",Moderate
